"","state","x","y"
"312","CA",-1739808.74583571,-690029.767596031
"313","PA",2030338.93989559,-176698.487629203
"314","IA",526347.939121452,-363294.118007041
"315","CA",-1878058.38044173,-565966.656557812
"316","CA",-1514189.79600631,-1098653.38875401
"317","IL",1003847.04724369,-264318.7896821
"318","VA",2077456.96318667,-603933.476982593
"319","OH",1346789.52856922,-461945.106170327
"320","ND",-53091.5486317385,222609.789783812
"321","AZ",-1128870.29885753,-1176784.99389569
"322","IL",1008274.58783559,-248998.226705001
"323","PA",2034904.99337736,-252815.874888255
"324","OH",1344573.43231532,-478284.518084196
"325","CA",-1923858.39758006,-594107.771252724
"326","CT",2267999.05301319,8901.9551109991
"327","CA",-1737190.91163164,-1003322.27692123
"328","WI",927093.218170637,-67191.7994827572
"329","MI",1346124.12947874,-160379.942495421
"330","AZ",-1133181.37796335,-1203052.86413981
"331","SC",1592883.96706022,-932670.673567656
"332","HI",-619375.676736373,-1944420.37396181
