"","name","country.etc","pop","lat","long","capital","x","y","city"
"324","Fort Smith AR","AR",82304,35.37,-94.38,0,510916.945901541,-1052561.40690622,"Fort Smith"
"325","Fort Wayne IN","IN",231147,41.07,-85.14,0,1238066.69426595,-324706.420858861,"Fort Wayne"
"326","Fort Worth TX","TX",633849,32.75,-97.34,0,250140.026320026,-1355658.11727255,"Fort Worth"
"327","Fountain Valley CA","CA",56318,33.71,-117.95,0,-1653268.9193208,-1077883.79986819,"Fountain Valley"
"328","Fountainbleau FL","FL",67124,25.77,-80.35,0,1975750.8481036,-1906904.32036386,"Fountainbleau"
"329","Framingham MA","MA",65103,42.31,-71.44,0,2289799.61520765,108146.102758113,"Framingham"
"330","Franconia VA","VA",42105,38.76,-77.15,0,1953325.14831801,-422034.348467583,"Franconia"
"331","Frankfort KY","KY",27210,38.2,-84.86,2,1316330.95377987,-635667.44078962,"Frankfort"
"332","Franklin TN","TN",51478,35.93,-86.84,0,1182684.57285188,-914852.122367254,"Franklin"
"333","Frederick MD","MD",58271,39.43,-77.42,0,1911917.62227807,-355814.172777302,"Frederick"
"334","Freeport NY","NY",43377,40.65,-73.58,0,2183136.22325367,-128153.251425526,"Freeport"
"335","Fremont CA","CA",202574,37.53,-122,0,-1916446.92745288,-575268.788620389,"Fremont"
"336","Fresno CA","CA",472517,36.78,-119.79,0,-1746869.9844137,-705542.493663236,"Fresno"
"337","Frisco TX","TX",80192,33.14,-96.81,0,298526.158921328,-1310845.518316,"Frisco"
"338","Fullerton CA","CA",137126,33.88,-117.93,0,-1647917.00322531,-1059698.80314462,"Fullerton"
"339","Gainesville FL","FL",127933,29.67,-82.34,0,1707122.20832495,-1524683.76226502,"Gainesville"
"340","Gaithersburg MD","MD",61649,39.14,-77.22,0,1936655.98244168,-382540.983485797,"Gaithersburg"
"341","Galveston TX","TX",56205,29.3,-94.81,0,507665.757163978,-1725155.35722248,"Galveston"
"342","Garden Grove CA","CA",167647,33.78,-117.96,0,-1652712.61800655,-1070040.21799554,"Garden Grove"
"343","Gardena CA","CA",61550,33.89,-118.3,0,-1681065.58012618,-1051324.45629995,"Gardena"
"344","Garland TX","TX",217609,32.91,-96.63,0,316251.259285596,-1335623.32976877,"Garland"
"345","Gary IN","IN",96950,41.6,-87.34,0,1047986.93341826,-297024.76481707,"Gary"
"346","Gastonia NC","NC",67937,35.25,-81.17,0,1698637.61188809,-892202.340373924,"Gastonia"
"347","Georgetown TX","TX",41398,30.65,-97.69,0,222687.829747295,-1588504.41331177,"Georgetown"
"348","Germantown MD","MD",66720,39.18,-77.26,0,1932216.54375517,-379150.068523749,"Germantown"
"349","Gilbert AZ","AZ",186332,33.33,-111.76,0,-1093996.65883631,-1219811.42468895,"Gilbert"
"350","Gilroy CA","CA",46107,37.01,-121.58,0,-1894649.36193226,-641365.037765362,"Gilroy"
"351","Glen Burnie MD","MD",40546,39.17,-76.6,0,1986745.33383328,-364507.303473409,"Glen Burnie"
"352","Glendale AZ","AZ",244734,33.58,-112.2,0,-1131062.43889606,-1186552.86351976,"Glendale"
"353","Glendale CA","CA",204747,34.18,-118.25,0,-1670383.55227854,-1020642.080954,"Glendale"
"354","Glendora CA","CA",51929,34.15,-117.84,0,-1634176.14375199,-1031939.7271932,"Glendora"
"355","Glenview IL","IL",47479,42.08,-87.82,0,1000947.12067993,-250103.105885257,"Glenview"
"356","Goodyear AZ","AZ",49748,33.35,-112.41,0,-1153666.06314981,-1209029.40300202,"Goodyear"
"357","Grand Forks ND","ND",48195,47.92,-97.07,0,218350.819686897,328652.877955708,"Grand Forks"
"358","Grand Island NE","NE",45052,40.92,-98.37,0,137031.015326456,-452225.41148459,"Grand Island"
"359","Grand Junction CO","CO",46350,39.09,-108.55,0,-737275.832590839,-618906.561736279,"Grand Junction"
"360","Grand Prairie TX","TX",144018,32.69,-97.02,0,280422.397752866,-1361298.11099839,"Grand Prairie"
"361","Grand Rapids MI","MI",193006,42.96,-85.66,0,1159651.22589443,-124592.136645424,"Grand Rapids"
"362","Grapevine TX","TX",51334,32.93,-97.07,0,274914.349345861,-1334933.07829283,"Grapevine"
"363","Great Falls MT","MT",55908,47.5,-111.29,0,-844807.616012482,337656.359372886,"Great Falls"
"364","Greater Carrollwood FL","FL",42586,28.07,-82.52,0,1719883.23800811,-1702687.65046342,"Greater Carrollwood"
